name	manufacturer	model	area	integrations	disabled_by	sw_version	device_id
Ellie's Phone	Tile Inc.			tile		60.04.15.0	37c7de6de9683057d2f6cfa6a941ce5b
Ellie's School Bag	Tile Inc.		Coats	tile		41.04.10.0	c9202c52cda1a58732ad3589ab5ee183
Ellies Bedroom	Signify Netherlands B.V.	Room	Ellies Bedroom	hue			be144131e7472e50b842f461b85c3333
Entities Button Group	wassy92x	plugin		hacs			da7a76dd56252c18a96879be9d32c0de
Entity Attributes Card	custom-cards	plugin		hacs			2f1af32f0bda016208ead38d4163e3ec
Eva	Volvo	EX40 (2026)	Driveway	volvo_cars			a5fce37506e8e7d5e0c8f6ec1f3eeef7
Event sensor	azogue	integration		hacs			1bbd5508c7bb2ef45210178dd2fbb5c7
Fan	SONOFF	BASICR2		sonoff		3.5.0	1f76aded575e5eeab06e76aedbfdab6d
Fan Control Entity Row	finity69x2	plugin		hacs			78f20ab9ae4ae6c35bd0312705632009
Fan Percent Button Row	finity69x2	plugin		hacs			f3d1f29ff31b23f62279bfa7dcc3bc73
File editor	Official add-ons	Home Assistant Add-on		hassio		5.8.0	813b336a5009c1b0679854d4af00826b
Flex Table - Highly customizable, Data visualization	custom-cards	plugin		hacs			5dbe7d242f215ffe7fd5d1c2a5d94f78
Folder Watcher /root	Folder watcher		Home General	folder_watcher			d2cbf210bb5c860918f1cdcbb2de5dd2
Front			Hallway	smartthings			4790c2e41e11d177e7a474ded92743ec
Front Door	Google Nest	Doorbell	Hallway	nest			f4abd2fe653ecaff0c1a4676092c52d4
Front Doorstep			Hallway	smartthings			7b9d10d1a97c9b84c03990603505900f
Fujitsu Airstage Home Assistant component	danielkaldheim, ohshazbot	integration		hacs			f41b0db808148948a4e0c4ccb11e33b5
Garage	SONOFF	MINI		sonoff		3.6.0	9ccb44a74ed565657503b1f26638ff1d
Garage	Signify Netherlands B.V.	Room	Garage	hue			9bdf1670904133b388fb2d7a6eb6651c
Garage - out			Garage	smartthings			7f2f144fb44913b70d2546f8f306f4f8
Garage Doorstep			Garage	smartthings			11b8f39e024f1b50e621358aee48fb15
Garage Laundry	Signify Netherlands B.V.	Hue motion sensor	Kitchen	hue		2.85.1	1c642ebf609a3118338f5cc60369caab
Garage Light Strip	Signify Netherlands B.V.	Hue lightstrip		hue		1.163.1	9593355f78d8ca36bd29609c1eb39cfa
Garage Utility Door			Loft	smartthings			2a4df67320f54793f23c657782eac7ac
Garden A	Google Nest	Camera	Backyard	nest			4b42f81fb3bb5debbe7ca2a9eb6a0597
Garden C	Arlo	VMC5040		aarlo		0.8.1.18	f9bc61238265630bd65f1e2200e7d7cc
Garmin Connect	Garmin Connect		Home General	garmin_connect			46c8a496742e956185b1a6085316507a
Garmin Connect	cyberjunky	integration		hacs			5da5c0ceb5414a421f025c67e087c524
Garmin Device	Garmin	006-B4315-00		mobile_app		29.5	85a80c50a6cfe0b4175f54b1e8e5a005
Garmin Device	Garmin	006-B4062-00		mobile_app		26.18	b525e58e00c8bb0743f28a5106833fc5
Get HACS	Home Assistant Community Store	Home Assistant Add-on		hassio		1.3.1	fefb0b0ab379b86a67fa04d032a3bac0
Group Element	custom-cards	plugin		hacs			479496126587114b254c8423a717bc8c
Growatt Server API	muppet3000	integration		hacs			b7cc53bb03932a7bf6a2dbca0519a6f9
Guest Win			Study	smartthings			fcc5127aef94ec0ea269b0898ade3036
HA Dashboard	wassy92x	plugin		hacs			e603c5d11b42b5bce424e0ef07c66dfc
HACS	hacs.xyz			hacs		2.0.5	8b4457f54b2e4aa4b07a767de66c580e
Hallway Spotlights	LightwaveRF	L21MK2	Hallway	lightwave_smart			f1d3b91ace9a11f695b2e65d6f3db96e
Hallway Spotlights Device	LightwaveRF	L21MK2	Hallway	lightwave_smart		5.08.0	896cf85416b06d67345930e49851695c
Hannah	Tado	Zone	Hannah	tado			ffd9d8d30a3011eb917acd6c35b0816c
Hannah AC	Fujitsu Airstage	ASEH09KMCG	Hannahs Bedroom	fujitsu_airstage			725c33547cdb310204b3a490fe0cbc57
Hannah Hockey Bag	Tile Inc.			tile		41.04.10.0	fd4c1b8ae660dff881756cab2439a049
Hannah Hue Dimmer 	Signify Netherlands B.V.	Hue dimmer switch	Hannahs Bedroom	hue		2.85.1	afba70c261fa97fa532582672c1d8d5d
Hannah Keys	Tile Inc.		Coats	tile		41.04.10.0	d06fb1ef1f2705966b47aa5c35287382
Hannah Lamp	Signify Netherlands B.V.	Hue ambiance lamp	Dining Area	hue		67.116.12	5433856065066b607fc149d441bb7d47
Hannah Spotlights	LightwaveRF	L21MK2	Hannahs Bedroom	lightwave_smart			2aa4c8b299c41558fbbd7b190c719b0d
Hannah Spotlights Device	LightwaveRF	L21MK2	Hannah	lightwave_smart		5.08.0	8909a2bf1c0072800fe45bd494df9912
Hannah iPhone	Apple	iPhone14,4		mobile_app		26.1	c3fef4c369f57519e87c9e8862afe7a2
